Model,RMSE (€),MAE (€),R² Score,MAPE (%),Interpretation
Univariate LSTM,15720.579014315519,3143.21765,0.999999864005021,0.06921106880537549,🔵 Overfitting
Multivariate LSTM,1064800.0095336474,379759.410725,0.9993760900794176,1.0141942374510684,🟢 Good Fit
Encoder-Decoder LSTM,2145800.799540467,762199.6608125,0.9974662450852998,2.013931198494339,🔴 Best Balance
Ensemble (Simple Avg),805945.1395343599,278625.1790125,0.9996425652607094,0.7501037669683438,🟡 Mild Overfit
Optimized XGBoost,814609.7510814422,422482.80515,0.9996348384790281,3.7016947366164095,✅ Good Fit
Weighted Ensemble,19476.51330620039,6826.3860795239125,0.9999997912587776,0.07546586924272569,✅ Good Fit
Final Hybrid (Recommended),408542.79866593843,211900.80534406775,0.9999081538581339,1.8539610196119076,✅ Best Balance
