player_name,sentiment_score,sentiment_label
héctor bellerín moruno,0.0,neutral
héctor junior firpo adames,0.0,neutral
héctor miguel herrera lópez,0.0,neutral
hélder filipe oliveira lopes,0.0,neutral
iago aspas juncal,0.0,neutral
iddrisu baba mohammed,0.0,neutral
idrissa gana gueye,0.1761362068965517,positive
ivan ricardo neves abreu cavaleiro,0.0,neutral
iván lópez álvarez,0.0,neutral
iñaki williams arthuer,0.0,neutral
jack grealish,0.12838216666666669,positive
jaime mata arnaiz,0.0,neutral
jamaal lascelles,0.25912233009708735,positive
james david rodríguez rubio,0.0,neutral
james mcclean,0.0,neutral
james philip milner,0.0,neutral
james ward-prowse,0.1577841483979764,positive
jamie vardy,0.1374035058430718,positive
javier hernández balcázar,0.0,neutral
javier martínez aginaga,0.0,neutral
javier ontiveros parra,0.0,neutral
javier sánchez de felipe,0.0,neutral
jay rodriguez,0.0,neutral
jean-sylvain claude babin,0.0,neutral
jefferson andrés lerma solís,0.0,neutral
jeffrey schlupp,0.15377165354330707,positive
jeremie boga,0.0,neutral
jesse lingard,0.1453964882943144,positive
jesé rodríguez ruiz,0.0,neutral
joan jordán moreno,0.0,neutral
joan sastre vanrell,0.0,neutral
joaquín fernández moreno,0.0,neutral
joaquín oscar larrivey,0.0,neutral
joe gomez,0.0,neutral
joel nathaniel campbell samuels,0.0,neutral
joel ward,0.09713333333333334,positive
john guidetti,0.0,neutral
john stones,0.15915433333333331,positive
jon moncayola tollar,0.0,neutral
jonathan calleri,0.0,neutral
jonathan castro otto,0.0,neutral
jonathan howson,0.0,neutral
jonathan javier rodríguez portillo,0.0,neutral
jonathan viera ramos,0.0,neutral
jonathan dos santos ramírez,0.0,neutral
jordan ayew,0.13043764478764477,positive
jordan brian henderson,0.0,neutral
jordan veretout,0.0,neutral
jordi amat maas,0.0,neutral
jordon ibe,0.0,neutral
jordy clasie,0.0,neutral
jorge resurrección merodio,0.0,neutral
josep señé escudero,0.0,neutral
josh onomah,0.0,neutral
joshua king,0.0,neutral
josé antonio caro martínez,0.0,neutral
josé antonio delgado villar,0.0,neutral
josé antonio rodríguez díaz,0.0,neutral
josé ernesto sosa,0.0,neutral
josé ignacio fernández iglesias,0.0,neutral
josé ignacio martínez garcía,0.0,neutral
josé luis gayà peña,0.0,neutral
josé luis morales nogales,0.0,neutral
josé manuel arnáiz díaz,0.0,neutral
josé maría giménez de vargas,0.0,neutral
josé miguel da rocha fonte,0.0,neutral
josé rodríguez martínez,0.0,neutral
josé salomón rondón giménez,0.0,neutral
josé ángel pozo la rosa,0.0,neutral
joão félix sequeira,0.0,neutral
juan camilo hernández suárez,0.0,neutral
juan carlos paredes reasco,0.0,neutral
juan carlos pérez lópez,0.0,neutral
juan guillermo cuadrado bello,0.0,neutral
juan manuel iturbe arévalo,0.0,neutral
juan manuel mata garcía,0.0,neutral
juan miguel jiménez lópez,0.0,neutral
juan pablo añor acosta,0.0,neutral
juan pedro ramírez lópez,0.0,neutral
jules koundé,0.0,neutral
karim benzema,0.0,neutral
kelechi promise iheanacho,0.0,neutral
kevin de bruyne,0.18107166666666666,positive
kevin mbabu,0.0,neutral
kevin toner,0.0,neutral
kevin wimmer,0.0,neutral
kieran trippier,0.15066573146292586,positive
kurt happy zouma,0.0,neutral
kyle naughton,0.0,neutral
kyle walker,0.09654266666666667,positive
leandro bacuna,0.0,neutral
leandro daniel cabrera sasía,0.0,neutral
