player_name,market_value
josé ernesto sosa,60.0
josé ignacio fernández iglesias,14.4
josé ignacio martínez garcía,80.0
josé luis gayà peña,40.0
josé luis morales nogales,3.2
josé manuel arnáiz díaz,7.2
josé maría giménez de vargas,112.0
josé miguel da rocha fonte,80.0
josé rodríguez martínez,2.0
josé salomón rondón giménez,3.2
josé ángel pozo la rosa,3.2
joão félix sequeira,200.0
juan camilo hernández suárez,144.0
juan carlos paredes reasco,8.0
juan carlos pérez lópez,1.6
juan guillermo cuadrado bello,8.0
juan manuel iturbe arévalo,3.6
juan manuel mata garcía,3.0
juan miguel jiménez lópez,9.6
juan pablo añor acosta,3.2
juan pedro ramírez lópez,4.0
jules koundé,520.0
karim benzema,48.0
kelechi promise iheanacho,30.4
kevin de bruyne,120.0
kevin mbabu,24.0
kevin toner,1.2
kevin wimmer,3.2
kieran trippier,20.0
kurt happy zouma,32.0
kyle naughton,40.0
kyle walker,20.0
leandro bacuna,2.0
leandro daniel cabrera sasía,8.0
