player_name,shots,goals,passes,total_minutes
heinz flohe,3,0.0,27.0,136
henri camara,1,0.0,29.0,168
henriette akaba,1,0.0,12.0,68
henrik pedersen,1,1.0,25.0,143
hermann hreidarsson,2,0.0,91.0,300
hernán arsenio pérez gonzález,4,0.0,88.0,442
hernán jorge crespo,6,3.0,32.0,191
hernâni jorge santos fortes,2,0.0,12.0,47
heung-min son,17,2.0,163.0,801
hina sugita,4,0.0,126.0,458
hugo mallo novegil,5,0.0,375.0,1293
hye-ri kim,1,0.0,93.0,305
héctor adolfo enrique,3,0.0,37.0,147
héctor bellerín moruno,5,0.0,557.0,1731
héctor junior firpo adames,5,1.0,796.0,2518
héctor miguel herrera lópez,1,0.0,56.0,198
hélder filipe oliveira lopes,2,0.0,92.0,319
hélder manuel marques postiga,5,0.0,12.0,139
iago aspas juncal,15,3.0,161.0,772
iago falqué silva,2,0.0,38.0,153
ian harte,2,0.0,54.0,164
ibai gómez pérez,4,1.0,76.0,320
ibrahim afellay,14,0.0,571.0,1957
iddrisu baba mohammed,1,0.0,45.0,185
idrissa gana gueye,5,0.0,548.0,2071
ignacio camacho barnola,3,0.0,133.0,508
ignacio cases mora,1,0.0,57.0,233
ignacio monreal eraso,6,0.0,706.0,2061
ikechi anya,1,0.0,197.0,693
iker muniain goñi,2,0.0,184.0,780
ilaria mauro,1,0.0,9.0,72
imanol agirretxe arruti,1,0.0,47.0,238
inessa kaagman,58,5.0,886.0,3926
ingrid moe wold,1,0.0,113.0,338
ingrid syrstad engen,1,0.0,138.0,478
iniabasi anefiok umotong,52,3.0,407.0,2835
ioan viorel ganea,3,1.0,21.0,213
irene paredes hernandez,2,0.0,203.0,582
isaac ajayi success,2,0.0,40.0,287
isabell herlovsen,3,1.0,47.0,321
ivan gennaro gattuso,1,0.0,133.0,495
ivan rakitić,169,24.0,8871.0,28817
ivan ricardo neves abreu cavaleiro,2,0.0,38.0,209
ivica olić,4,0.0,23.0,131
iván campo ramos,2,1.0,69.0,280
iván lópez álvarez,1,0.0,16.0,94
iván ramis barrios,2,0.0,65.0,234
iñaki williams arthuer,14,0.0,112.0,682
iñigo pérez soto,1,0.0,26.0,106
jaap stam,2,0.0,97.0,260
jacinta galabadaarachchi,9,0.0,132.0,772
jack colback,8,0.0,381.0,1349
jack frank porteous cork,5,1.0,413.0,1402
jack grealish,7,0.0,125.0,589
jack rodwell,11,0.0,193.0,701
jack wilshere,1,0.0,46.0,204
jackie groenen,16,0.0,496.0,2287
jackson arley martínez valencia,1,0.0,9.0,43
jade bailey,15,0.0,729.0,2570
jade moore,40,5.0,1030.0,3925
jaime mata arnaiz,2,1.0,41.0,275
jair da costa,1,0.0,13.0,64
jakub błaszczykowski,3,0.0,35.0,139
jamaal lascelles,2,1.0,165.0,506
james collins,2,0.0,170.0,554
james david rodríguez rubio,11,1.0,92.0,372
james gillen robertson,3,1.0,37.0,142
james mcarthur,6,0.0,351.0,1257
james mccarthy,5,1.0,501.0,1734
james mcclean,14,1.0,237.0,1081
james morrison,8,2.0,183.0,625
james philip milner,18,2.0,766.0,2837
james scowcroft,1,0.0,68.0,280
james tomkins,5,0.0,294.0,863
james ward-prowse,9,0.0,257.0,838
jamie redknapp,3,1.0,60.0,221
jamie vardy,32,5.0,241.0,1490
jan kirchhoff,1,0.0,122.0,472
jan vertonghen,4,0.0,641.0,1887
jane ross,49,8.0,711.0,3641
janine elizabeth beckie,47,1.0,1027.0,3781
janine van wyk,1,0.0,107.0,388
janni arnth-jensen,3,1.0,199.0,588
jasmine matthews,4,0.0,844.0,2748
jason joseph euell,2,0.0,10.0,99
jason puncheon,25,2.0,526.0,2032
jason roberts,1,0.0,5.0,38
javier alejandro mascherano,18,1.0,6371.0,19508
javier eraso goñi,4,0.0,70.0,487
javier espinosa gonzález,2,0.0,43.0,174
javier fuego martínez,1,0.0,210.0,842
javier guerra rodríguez,5,1.0,56.0,330
javier hernández balcázar,2,0.0,23.0,131
javier lara grande,3,0.0,61.0,265
javier lópez rodríguez,1,0.0,264.0,896
javier martínez aginaga,2,0.0,46.0,139
javier márquez moreno,7,0.0,68.0,356
javier ontiveros parra,1,0.0,32.0,129
javier sánchez de felipe,1,0.0,28.0,91
jay rodriguez,1,0.0,17.0,111
jean-sylvain claude babin,3,0.0,75.0,248
jeannette yango,2,0.0,65.0,291
jefferson andrés lerma solís,4,0.0,49.0,241
jefferson antonio montero vite,9,0.0,214.0,1046
jeffrey schlupp,2,0.0,162.0,578
jemma elizabeth purfield,1,0.0,247.0,726
jennifer hermoso fuentes,16,2.0,211.0,782
jennifer patricia beattie,18,1.0,2257.0,6512
jeremain lens,11,1.0,206.0,1030
jeremie boga,1,0.0,6.0,37
jermain defoe,39,7.0,184.0,1365
jermaine pennant,3,0.0,122.0,509
jerónimo figueroa cabrera,4,0.0,91.0,340
jesse lingard,6,2.0,135.0,623
jessica anne clarke,28,1.0,347.0,2162
jessica carter,2,1.0,595.0,1744
jessica mcdonald,2,0.0,13.0,65
jessica park,1,0.0,13.0,78
jessica sigsworth,11,2.0,160.0,1098
jessie alexandra fleming,1,1.0,119.0,467
jesé rodríguez ruiz,4,0.0,64.0,307
jesús navas gonzález,5,1.0,490.0,1654
jesús rueda ambrosio,1,0.0,12.0,44
ji-sung park,1,0.0,55.0,266
jihai sun,1,0.0,100.0,288
jill roord,22,3.0,533.0,2174
jill scott,35,0.0,1572.0,6100
jimmy mcalister,1,0.0,34.0,136
joan jordán moreno,3,0.0,212.0,727
joan sastre vanrell,1,0.0,58.0,235
joan verdú fernández,1,0.0,72.0,256
joaquín fernández moreno,1,0.0,102.0,349
joaquín josé marín ruiz,1,0.0,52.0,160
joaquín oscar larrivey,7,1.0,52.0,271
joaquín sánchez rodríguez,3,1.0,136.0,514
jocky scott,4,0.0,43.0,180
jodie brett,7,1.0,188.0,707
jodie taylor,4,1.0,14.0,92
jody craddock,1,0.0,33.0,109
joe allen,5,0.0,133.0,627
joe cole,1,0.0,22.0,84
joe gomez,1,0.0,221.0,682
joel nathaniel campbell samuels,7,2.0,89.0,419
joel ward,9,1.0,543.0,1687
joey barton,2,0.0,103.0,332
johan cruyff,4,2.0,36.0,188
johan neeskens,2,0.0,51.0,190
john arne semundseth riise,9,0.0,204.0,664
john guidetti,3,2.0,48.0,275
john michael nchekwube obinna,4,0.0,575.0,1916
john o''shea,5,0.0,486.0,1447
john stones,3,0.0,541.0,1660
john terry,4,0.0,424.0,1107
johnnie jackson,1,0.0,20.0,79
joleon lescott,4,0.0,425.0,1297
jon aurtenetxe borde,1,0.0,113.0,392
jon dahl tomasson,1,1.0,8.0,43
jon errasti zabalete,1,0.0,28.0,172
jon moncayola tollar,3,0.0,16.0,97
jonas olsson,1,0.0,222.0,618
jonatan lillebror johansson,3,0.0,19.0,140
jonathan calleri,1,0.0,21.0,142
jonathan castro otto,1,0.0,213.0,770
jonathan douglas,1,0.0,17.0,104
jonathan grant evans,1,0.0,272.0,817
jonathan howson,7,1.0,369.0,1473
jonathan javier rodríguez portillo,3,0.0,11.0,80
jonathan rodríguez menéndez,2,1.0,50.0,307
jonathan viera ramos,10,1.0,204.0,846
jonathan walters,13,2.0,204.0,946
jonathan dos santos ramírez,3,0.0,123.0,551
jonathas cristian de jesus,1,0.0,62.0,357
jonhatan montiel caballero,1,0.0,6.0,45
jonjo shelvey,13,1.0,550.0,1665
jonna ann-charlotte andersson,26,0.0,1999.0,5715
jonás manuel gutiérrez,1,0.0,8.0,43
jordan ayew,25,3.0,294.0,1718
jordan brian henderson,9,0.0,404.0,1357
jordan nobbs,65,13.0,1071.0,4199
jordan veretout,6,0.0,225.0,788
jordi alba ramos,44,5.0,10611.0,31258
jordi amat maas,2,0.0,90.0,298
jordon ibe,10,1.0,184.0,845
jordon mutch,5,0.0,136.0,533
jordy clasie,5,0.0,248.0,794
jorge andújar moreno,7,0.0,160.0,582
jorge franco alviz,1,0.0,44.0,204
jorge luis burruchaga,1,0.0,50.0,178
jorge molina vidal,10,1.0,85.0,449
jorge resurrección merodio,9,1.0,643.0,2380
josanne potter,11,1.0,1514.0,4288
josep señé escudero,1,0.0,39.0,193
joseph phillip yobo,1,0.0,28.0,98
josh onomah,1,0.0,17.0,61
joshua king,18,2.0,131.0,1021
josie green,12,0.0,404.0,1807
josé andrés guardado hernández,1,0.0,112.0,371
josé antonio caro martínez,2,0.0,33.0,99
josé antonio delgado villar,3,0.0,98.0,407
josé antonio garcía rabasco,3,0.0,189.0,668
josé antonio reyes calderón,23,2.0,274.0,1441
josé antonio rodríguez díaz,2,0.0,25.0,169
josé eduardo albácar gallego,1,0.0,69.0,208
josé ernesto sosa,1,0.0,27.0,140
josé holebas,4,0.0,89.0,279
josé ignacio fernández iglesias,1,0.0,85.0,248
josé ignacio martínez garcía,4,0.0,177.0,584
josé leonardo ulloa,13,1.0,162.0,917
josé luis cuciuffo,1,0.0,35.0,102
josé luis garcía del pozo,5,0.0,193.0,813
josé luis gayà peña,2,0.0,186.0,660
josé luis morales nogales,8,0.0,136.0,715
josé luis sanmartín mato,15,4.0,173.0,887
josé manuel arnáiz díaz,2,1.0,13.0,92
josé manuel jurado marín,12,0.0,341.0,1354
josé maría giménez de vargas,4,0.0,82.0,347
josé miguel da rocha fonte,8,0.0,514.0,1565
josé ramiro funes mori,6,0.0,437.0,1341
josé ramón alexanko ventosa,4,0.0,52.0,152
josé rodríguez martínez,1,0.0,25.0,97
josé salomón rondón giménez,29,4.0,200.0,1374
josé verdú nicolás,1,0.0,8.0,46
josé ángel gómez campaña,7,1.0,226.0,776
josé ángel pozo la rosa,1,0.0,17.0,83
josé ángel valdés díaz,4,0.0,256.0,791
joão félix sequeira,3,0.0,22.0,128
joão miranda de souza filho,3,0.0,71.0,222
juan antonio rodríguez villamuela,1,0.0,74.0,298
juan camilo hernández suárez,4,1.0,42.0,211
juan carlos paredes reasco,1,0.0,155.0,488
juan carlos pérez lópez,3,0.0,138.0,500
juan carlos pérez rojo,1,0.0,17.0,105
juan domínguez lamas,2,0.0,66.0,342
juan francisco moreno fuertes,4,0.0,213.0,760
juan francisco torres belén,2,0.0,304.0,971
juan guillermo cuadrado bello,1,0.0,14.0,68
juan isaac cuenca lópez,1,0.0,78.0,325
juan manuel iturbe arévalo,1,0.0,10.0,63
juan manuel mata garcía,22,2.0,551.0,1998
juan manuel vargas risco,1,0.0,55.0,150
juan miguel jiménez lópez,6,2.0,80.0,466
juan pablo añor acosta,5,1.0,75.0,452
juan pablo ángel arango,9,0.0,61.0,329
juan pedro ramírez lópez,1,0.0,72.0,244
juan torres ruiz,1,0.0,19.0,59
juan ángel albín leites,1,0.0,4.0,30
jules koundé,1,0.0,40.0,125
julia simic,14,2.0,539.0,2054
julian schieber,1,0.0,1.0,10
julie beth ertz,5,1.0,70.0,252
julie biesmans,8,0.0,491.0,1993
julien rodriguez,1,0.0,35.0,92
juliette kemppi,7,1.0,155.0,983
jun endo,2,0.0,46.0,182
junichi inamoto,1,0.0,62.0,284
junior stanislas,17,0.0,257.0,1132
jérémie aliadière,7,0.0,65.0,445
jérémy mathieu,19,3.0,2629.0,7688
jérôme boateng,1,0.0,100.0,292
jörg heinrich,1,0.0,45.0,152
júnior wakalibille lago,1,0.0,10.0,62
jürgen grabowski,2,0.0,33.0,127
jürgen sparwasser,2,1.0,23.0,94
kadeisha buchanan,2,1.0,123.0,366
kadidiatou diani,7,0.0,55.0,312
kalu uche,1,0.0,14.0,66
kanjana sungngoen,3,1.0,42.0,253
karen araya,3,0.0,68.0,292
karen julia carney,18,1.0,497.0,1921
karim benzema,39,5.0,411.0,1867
karina sævik,3,0.0,32.0,198
karl brillant toko ekambi,4,1.0,18.0,139
kate longhurst,26,2.0,1057.0,4065
kate natkiel,19,0.0,330.0,1532
katharina baunach,8,3.0,631.0,1780
kathrin julia hendrich,1,0.0,79.0,238
katie mccabe,52,5.0,1747.0,5869
katie robinson,4,0.0,71.0,586
katie rood,1,1.0,26.0,178
katie zelem,23,5.0,698.0,2242
katrina gorry,1,0.0,7.0,37
katrine veje,5,0.0,444.0,1341
kayleigh green,49,4.0,1039.0,5318
keira walsh,23,3.0,2256.0,7696
kelechi promise iheanacho,1,0.0,27.0,121
kenny miller,3,0.0,54.0,245
kenny sansom,1,0.0,60.0,175
kenza dali,23,2.0,560.0,2267
kerys harrop,17,3.0,1498.0,4622
kevin cyril davies,7,0.0,56.0,319
kevin de bruyne,14,4.0,395.0,1433
kevin gameiro,8,2.0,114.0,698
kevin großkreutz,1,0.0,20.0,93
kevin linford stewart,3,0.0,224.0,792
kevin mbabu,1,0.0,53.0,207
kevin mirallas,13,1.0,107.0,478
kevin nolan,4,0.0,42.0,221
kevin phillips,3,0.0,51.0,325
kevin toner,2,0.0,112.0,354
kevin wimmer,1,0.0,276.0,779
kevin-prince boateng,8,0.0,63.0,341
khadija monifa shaw,5,0.0,47.0,334
kholosa biyana,2,0.0,101.0,431
kieran richardson,2,0.0,96.0,296
kieran trippier,2,1.0,286.0,763
kika van es,1,0.0,472.0,1409
kim little,42,13.0,1623.0,5787
kirsty barton,7,0.0,1224.0,3420
kirsty hanson,15,3.0,132.0,901
kirsty linnett,27,1.0,398.0,2551
kirsty smith,2,0.0,442.0,1309
kirstyn pearce,7,1.0,989.0,3021
kit graham,42,3.0,298.0,1663
klara bühl,4,0.0,32.0,207
klaus augenthaler,2,0.0,75.0,245
kléper laveran lima ferreira,1,1.0,179.0,569
kolo habib touré,17,1.0,1719.0,5322
kosovare asllani,8,2.0,110.0,451
kristine leine,4,1.0,573.0,1795
kumi yokoyama,1,0.0,17.0,103
kurt happy zouma,8,0.0,370.0,1140
kyle bartley,2,0.0,131.0,432
kyle naughton,2,0.0,610.0,1828
kyle walker,8,0.0,615.0,1857
lamine koné,6,2.0,112.0,366
lamine sakho,2,0.0,24.0,107
lana clelland,1,1.0,2.0,20
laura coombs,28,0.0,825.0,3308
laura rafferty,4,1.0,455.0,1481
laura vetterlein,3,1.0,587.0,1893
laureano bisan-etame mayer,7,0.0,1914.0,5666
lauren bruton,24,3.0,443.0,2367
lauren hemp,47,7.0,588.0,3126
lauren james,31,6.0,179.0,1301
laurent koscielny,6,2.0,367.0,1155
laurent robert,6,1.0,71.0,253
lea schüller,1,0.0,13.0,71
leah galton,29,4.0,344.0,1738
leah williamson,16,2.0,2522.0,7295
leandra little,5,0.0,139.0,497
leandro bacuna,9,0.0,451.0,1522
leandro daniel cabrera sasía,1,0.0,72.0,213
leanne kiernan,26,3.0,351.0,2194
ledley king,1,0.0,64.0,231
lee carsley,1,0.0,31.0,86
lee cattermole,3,0.0,441.0,1517
lee hendrie,1,0.0,77.0,297
lee naylor,2,0.0,97.0,267
lee tomlin,2,0.0,46.0,217
lei wu,3,1.0,11.0,74
leigh-anne robe,5,0.0,1423.0,4322
leighton baines,3,1.0,474.0,1390
leila ouahabi el ouahabi,1,0.0,64.0,185
leon osman,1,0.0,31.0,108
leonardo carrilho baptistão,6,0.0,94.0,525
leonie maier,7,0.0,557.0,1715
leroy fer,2,0.0,108.0,420
leslie ferdinand,1,0.0,20.0,126
letícia santos de oliveira,1,0.0,81.0,279
lewis grabban,5,1.0,102.0,546
li yang,5,0.0,26.0,206
lia wälti,10,0.0,1291.0,4418
libor kozák,3,0.0,44.0,275
lieke martens,3,0.0,91.0,428
lina magull,5,1.0,77.0,333
lina mona andréa hurtig,8,1.0,45.0,227
linda brigitta sembrant,2,1.0,134.0,405
lindsey michelle horan,7,1.0,141.0,454
lineth beerensteyn,2,0.0,9.0,55
lionel andrés messi cuccittini,974,194.0,11527.0,45364
lisa boattin,1,0.0,19.0,58
lisa evans,23,3.0,1889.0,5962
lisa-marie utland,7,2.0,117.0,695
loren dykes,2,0.0,969.0,2915
lorenzo jesús morón garcía,7,1.0,27.0,175
lothar kurbjuweit,3,0.0,19.0,83
louis saha,3,1.0,26.0,176
louise quinn,15,1.0,1338.0,4061
loïc rémy,11,1.0,73.0,379
luana bertolucci paixão,2,0.0,13.0,67
luca sangalli fuentes,2,0.0,28.0,114
lucas ariel ocampos,6,0.0,49.0,271
lucas digne,5,0.0,839.0,2526
lucas neill,1,0.0,124.0,384
lucas pérez martínez,10,2.0,149.0,675
lucas rené olaza catrofe,2,1.0,54.0,158
lucas rodrigues moura da silva,2,0.0,5.0,34
lucas vázquez iglesias,3,1.0,84.0,594
luciano vietto,8,1.0,81.0,392
lucienne reichardt,8,0.0,275.0,966
lucimar da silva ferreira,1,0.0,18.0,73
lucy hope,63,11.0,1074.0,5040
lucy quinn,22,3.0,362.0,1882
lucy staniforth,69,3.0,1493.0,5547
lucy whipp,6,1.0,310.0,1446
lucía garcía córdoba,5,1.0,67.0,349
ludmila da silva,3,0.0,12.0,114
ludwig kögl,3,0.0,34.0,146
luigi de agostini,1,0.0,69.0,234
luis alberto romero alconchel,2,0.0,15.0,76
luis alberto suárez díaz,469,106.0,4007.0,18898
luis carlos correia pinto,1,0.0,91.0,331
luis eduardo delgado pacheco,2,0.0,51.0,231
luis ezequiel ávila,1,0.0,9.0,33
luis fernando muriel fruto,2,1.0,2.0,28
luis javier garcía sanz,2,0.0,34.0,203
luis jesús rioja gonzález,1,0.0,30.0,126
luka modrić,12,0.0,740.0,2616
luuk de jong,4,0.0,38.0,177
luís boa morte pereira,2,0.0,23.0,178
luís carlos almeida da cunha,3,0.0,34.0,212
léa le garrec,36,1.0,474.0,2275
léandre griffit,1,0.0,20.0,99
madelen fatimma maria janogy,5,1.0,14.0,113
magdalena lilly eriksson,45,3.0,2348.0,6718
maicon douglas sisenando,1,0.0,32.0,117
malcom filipe silva de oliveira,9,1.0,227.0,886
mallory pugh,4,1.0,59.0,262
mamadou koné,2,0.0,18.0,123
mamadou sakho,1,0.0,259.0,774
mame biram diouf,7,1.0,63.0,453
mamello makhabane,1,0.0,89.0,345
mana iwabuchi,3,1.0,39.0,236
manuel agudo durán,13,1.0,156.0,794
manuel alejandro garcía sánchez,2,0.0,76.0,354
manuel jesús ortiz toribio,1,0.0,29.0,90
manuel jesús vázquez florido,2,0.0,3.0,49
manuel lanzini,15,2.0,305.0,1215
manuel neuer,1,1.0,66.0,174
manuel onwu villafranca,1,0.0,16.0,124
manuel rolando iturra urrutia,1,0.0,104.0,492
manuel trigueros muñoz,8,0.0,227.0,907
manuel del moral fernández,1,0.0,19.0,104
manuela giugliano,2,0.0,78.0,300
marc albrighton,16,0.0,439.0,1772
marc bartra aregall,22,4.0,1964.0,6133
marc cucurella saseta,3,1.0,85.0,393
marc muniesa martínez,3,0.0,311.0,1032
marc pugh,5,2.0,131.0,653
marc roca junqué,3,0.0,196.0,703
marcelo vieira da silva júnior,11,2.0,686.0,2243
marco asensio willemsen,5,1.0,107.0,543
marco reus,1,0.0,42.0,167
marco van ginkel,2,0.0,141.0,519
marcos alonso peña,2,0.0,29.0,156
marcos evangelista de moraes,1,0.0,94.0,273
marcos llorente moreno,4,0.0,82.0,399
marcus allbäck,2,0.0,17.0,117
marcus bent,2,0.0,53.0,273
marcus rashford,1,0.0,19.0,107
maren nævdal mjelde,23,4.0,1372.0,4249
maria thorisdottir,3,1.0,296.0,950
mariana valeria larroquette,2,0.0,9.0,68
mariano díaz mejía,1,1.0,2.0,16
mariela del carmen coronel,1,0.0,5.0,22
marina hegering,4,0.0,150.0,484
mario bermejo castanedo,1,0.0,5.0,41
mario bertini,1,0.0,26.0,96
mario frustalupi,1,0.0,33.0,102
mario gaspar pérez martínez,6,0.0,277.0,968
mario gómez garcía,6,1.0,18.0,124
mario hermoso canseco,1,0.0,64.0,215
mario mandžukić,6,2.0,66.0,290
mario melchiot,1,0.0,85.0,283
mario pašalić,2,0.0,56.0,269
mario suárez mata,3,0.0,256.0,868
marion torrent,1,0.0,117.0,335
marisa ewers,5,0.0,233.0,821
mark kennedy,2,0.0,65.0,245
mark kinsella,1,0.0,30.0,93
mark noble,8,3.0,541.0,1789
mark pembridge,2,0.0,18.0,87
mark viduka,1,0.0,28.0,151
mark van bommel,4,0.0,79.0,273
markel bergara larrañaga,2,0.0,104.0,398
markel susaeta laskurain,8,1.0,192.0,920
marko arnautović,27,2.0,362.0,1636
marko rog,1,0.0,29.0,140
markus babbel,1,0.0,59.0,194
marouane chamakh,1,0.0,21.0,108
marouane fellaini-bakkioui,8,0.0,216.0,861
marta corredera rueda,6,0.0,183.0,583
marta torrejón moya,3,0.0,120.0,325
marta vieira da silva,1,1.0,26.0,111
martha harris,5,0.0,472.0,1369
martha thomas,25,4.0,235.0,1377
martin andresen,1,0.0,51.0,180
martin braithwaite christensen,16,2.0,153.0,759
martin keown,1,0.0,132.0,350
martin olsson,1,0.0,215.0,663
martin ødegaard,6,0.0,119.0,434
martin škrtel,4,0.0,651.0,1938
martín maximiliano mantovani,1,0.0,16.0,72
martín montoya torralbo,3,0.0,890.0,2909
marvin emnes,1,0.0,2.0,16
maría florencia bonsegundo,2,0.0,52.0,294
maría francesca caldentey oliver,6,0.0,130.0,541
maría josé urrutia,1,0.0,31.0,190
maría pilar león cebrián,1,0.0,185.0,565
maría victoria losada gómez,1,0.0,36.0,141
massadio haïdara,1,0.0,55.0,164
massimo crippa,3,0.0,48.0,197
massimo maccarone,1,1.0,10.0,61
mateo ezequiel garcía,1,0.0,4.0,35
mateo kovačić,1,0.0,49.0,198
mateo pablo musacchio,1,0.0,71.0,302
mathieu flamini,1,0.0,98.0,356
matilde lundorf skovsen,7,0.0,275.0,982
mats hummels,1,0.0,48.0,148
matt holland,1,0.0,91.0,295
matt jansen,2,0.0,21.0,97
matt jarvis,3,0.0,117.0,511
matt ritchie,22,0.0,453.0,1758
matt targett,1,0.0,119.0,370
matteo darmian,2,0.0,367.0,1106
matthew pennington,2,0.0,158.0,496
matthew upson,2,0.0,82.0,223
matías ezequiel vargas martín,1,0.0,15.0,86
mauricio lemos merladet,1,0.0,81.0,280
mauricio taricco,1,0.0,110.0,282
mauro bellugi,1,0.0,38.0,135
mauro matías zárate,6,1.0,43.0,212
mauro wilney arambarri rosa,4,0.0,66.0,401
max-alain gradel,4,1.0,114.0,550
maximiliano gómez gonzález,7,2.0,35.0,200
maya le tissier,2,0.0,378.0,1281
mayumi pacheco,6,0.0,1048.0,3209
maéva clemaron,5,0.0,468.0,1702
meaghan sargeant,16,3.0,1392.0,4222
megan alexander,4,1.0,646.0,1908
megan anna rapinoe,2,1.0,87.0,271
megan campbell,1,0.0,352.0,1041
megan connolly,14,2.0,384.0,1656
megan finnigan,15,0.0,1163.0,3724
megan wynne,1,0.0,35.0,219
melanie leupolz,3,1.0,116.0,405
melissa lawley,28,1.0,489.0,2702
memphis depay,17,1.0,219.0,939
merel van dongen,1,0.0,32.0,81
mesut özil,13,1.0,668.0,2184
mi-na lee,4,0.0,57.0,224
mi-ra moon,6,0.0,39.0,205
micah richards,3,0.0,200.0,660
michael bridges,2,0.0,22.0,89
michael carrick,1,0.0,630.0,1929
michael krohn-dehli,3,0.0,108.0,411
michael laudrup,5,0.0,66.0,276
michael lennart svensson,1,0.0,61.0,187
michael owen,7,1.0,14.0,117
michael tarnat,4,0.0,109.0,271
michail antonio,11,2.0,141.0,776
michaël pereira,1,1.0,24.0,108
michy batshuayi tunga,3,0.0,26.0,127
micky cave,4,0.0,22.0,101
miguel filipe nunes cardoso,3,0.0,9.0,46
miguel de andrés,1,0.0,16.0,79
miguel ángel britos cabrera,1,0.0,220.0,655
miguel ángel garcía pérez roldán,1,0.0,77.0,222
miguel ángel guerrero martín,5,0.0,57.0,333
mikael forssell,1,0.0,15.0,121
mikel arteta amatriain,1,0.0,19.0,67
mikel balenziaga oruesagasti,3,0.0,315.0,1052
mikel gonzález de martín martínez,2,0.0,69.0,268
mikel merino zazón,4,0.0,186.0,733
mikel oyarzabal ugarte,17,2.0,195.0,998
mikel rico moreno,3,1.0,70.0,266
mikel san josé domínguez,3,0.0,178.0,614
milan baroš,1,0.0,19.0,159
mile jedinak,6,0.0,386.0,1265
millie bright,42,2.0,2128.0,6351
millie laura farrow,11,2.0,94.0,676
millie turner,7,0.0,671.0,2066
min-ji yeo,9,1.0,46.0,264
miralem pjanić,3,0.0,51.0,170
mireya grey,2,0.0,23.0,107
missy bo kearns,1,0.0,4.0,37
modou barrow,3,1.0,102.0,577
mohamed naser elsayed elneny,7,0.0,280.0,923
mohamed salah,8,1.0,28.0,197
moisés gómez bordonado,3,0.0,109.0,416
molly bartrip,6,0.0,525.0,1665
molly pike,10,1.0,159.0,773
monica hickmann alves,2,0.0,111.0,329
moreno torricelli,1,0.0,40.0,137
morgan paige gautrat,1,0.0,51.0,168
morgan schneiderlin,2,0.0,410.0,1317
moritz volz,2,0.0,111.0,368
mousa sidi yaya dembélé,10,2.0,583.0,2123
moussa sissoko,13,1.0,565.0,2256
mubarak wakaso,4,0.0,107.0,518
muhamed bešić,1,0.0,96.0,346
munir el haddadi mohamed,37,7.0,482.0,2189
n''golo kanté,9,0.0,484.0,1932
nabil el zhar,5,1.0,94.0,470
nabil fekir,3,1.0,17.0,119
nabil ghilas,2,0.0,45.0,250
nacer chadli,10,0.0,105.0,456
nadia nadim,7,0.0,44.0,287
nahikari garcía pérez,6,0.0,47.0,283
narumi miura,1,0.0,111.0,379
natasha harding,13,1.0,1161.0,3643
nathan aké,4,1.0,267.0,809
nathan redmond,9,1.0,298.0,1283
nathaniel edwin clyne,11,0.0,809.0,2451
neil taylor,4,0.0,594.0,1772
nelsi morais,1,0.0,45.0,140
nemanja maksimović,1,0.0,44.0,277
nemanja matić,14,0.0,787.0,2697
nemanja radoja,1,1.0,178.0,707
neymar da silva santos junior,299,50.0,5215.0,22519
ngozi sonia okobi,2,0.0,87.0,405
niamh charles,28,2.0,459.0,2865
niamh fahey,11,0.0,997.0,3298
nichelle patrice prince,7,1.0,49.0,278
nick chadwick,1,0.0,19.0,117
nicky hunt,1,0.0,70.0,234
nicola cousins,8,0.0,313.0,1218
nicola sansone,3,1.0,15.0,154
nicolas anelka,9,1.0,54.0,286
nicolás hernán otamendi,10,0.0,433.0,1432
nicolás martín pareja,1,0.0,131.0,432
nigel quashie,2,0.0,59.0,282
nikica jelavić,6,0.0,29.0,176
nikita parris,80,20.0,585.0,3307
nilla fischer,1,0.0,175.0,499
noko matlou,1,0.0,94.0,369
norbert nachtweih,1,0.0,63.0,194
nordin amrabat,4,0.0,137.0,765
nothando vilakazi,2,0.0,75.0,256
nwankwo christian kanu,10,1.0,194.0,887
nélson cabral semedo,12,2.0,2587.0,8428
néstor alejandro araújo razo,1,0.0,102.0,320
odion jude ighalo,31,5.0,201.0,1459
ola toivonen,5,0.0,143.0,499
olaf thon,2,0.0,50.0,170
ole gunnar solskjær,2,0.0,21.0,92
olivia alma charlotta schough,2,0.0,19.0,74
olivia chance,14,0.0,351.0,1444
olivia fergusson,26,1.0,196.0,1894
olivier bernard,3,1.0,74.0,237
olivier giroud,24,5.0,177.0,924
olof mellberg,2,0.0,74.0,223
olufolasade adamolekun,1,0.0,25.0,126
oluwaseyi babajide ojo,4,0.0,82.0,450
omar mascarell gonzález,1,0.0,56.0,283
oriol riera magem,4,0.0,114.0,589
oriol romeu vidal,9,0.0,354.0,1293
osazemwinde peter odemwingie,1,0.0,27.0,95
oscar dos santos emboaba júnior,30,2.0,610.0,2441
osinachi marvis ohale,4,0.0,71.0,237
oswaldo giroldo júnior,3,0.0,81.0,340
ousmane dembélé,40,8.0,1147.0,4465
pablo daniel piatti,2,1.0,65.0,377
pablo ezequiel de blasis,3,1.0,144.0,486
pablo hervías ruiz,2,0.0,44.0,163
pablo sarabia garcía,14,0.0,150.0,788
paco clos,1,0.0,2.0,22
paige bailey gayle,2,0.0,21.0,127
paige therese satchell,1,0.0,0.0,27
paige williams,4,0.0,692.0,1946
