player_name,shots,goals,passes,total_minutes
ashley elizabeth marie lawrence,4,0.0,140.0,477
ashley hodson,3,1.0,73.0,486
ashley westwood,11,0.0,459.0,1568
ashley williams,6,1.0,653.0,1998
ashley young,3,0.0,321.0,979
asier illarramendi andonegi,2,0.0,204.0,780
asisat lamina oshoala,5,1.0,53.0,312
"augustine azuka ""jay-jay"" okocha",5,0.0,100.0,373
augusto matías fernández,7,0.0,189.0,896
aurora galli,2,2.0,25.0,108
ava kuyken,1,0.0,36.0,185
aya sameshima,1,0.0,141.0,423
aymeric laporte,4,0.0,179.0,580
ayoze pérez gutiérrez,18,1.0,275.0,1402
aythami artiles oliva,1,0.0,88.0,286
aïssa mandi,1,0.0,158.0,559
bacary sagna,1,0.0,401.0,1122
bafétimbi gomis,24,1.0,187.0,1029
bakary sako,10,1.0,134.0,619
bamidele alli,25,2.0,362.0,1742
barbara bonansea,5,2.0,52.0,294
barry ferguson,3,0.0,53.0,189
bastian schweinsteiger,9,0.0,601.0,1919
beatriz zaneratto joão,2,0.0,32.0,162
ben davies,3,0.0,338.0,975
ben watson,4,0.0,430.0,1358
benik afobe,10,3.0,98.0,646
bernard mensah,1,0.0,2.0,25
bernardo josé espinosa zúñiga,4,0.0,90.0,335
bernd schuster,2,0.0,72.0,240
bernhard cullmann,3,0.0,39.0,138
berti vogts,1,0.0,47.0,152
bertrand isidore traoré,7,1.0,57.0,322
bethan roe,1,0.0,85.0,235
bethany england,124,23.0,661.0,3773
bethany mead,67,10.0,1246.0,5386
beñat etxebarria urkiaga,4,0.0,222.0,752
billy jones,6,0.0,442.0,1546
bojan krkíc pérez,10,2.0,259.0,1063
bonnie horwood,5,0.0,506.0,1968
borja garcía freire,1,0.0,51.0,220
borja gonzález tomás,1,0.0,38.0,252
borja iglesias quintas,3,0.0,56.0,283
borja mayoral moya,4,1.0,69.0,359
boudewijn zenden,3,0.0,67.0,251
bradley johnson,4,0.0,24.0,96
brais méndez portela,3,0.0,69.0,314
branislav ivanović,17,2.0,901.0,2644
brede hangeland,1,0.0,29.0,99
brendan joel zibusiso galloway,1,0.0,172.0,575
brett ormerod,2,0.0,32.0,205
brian mcbride,1,0.0,18.0,72
brianna visalli,36,1.0,673.0,3337
brooke chaplen,80,10.0,520.0,3617
brooke hendrix,9,0.0,638.0,1926
bruno gonzález cabrera,1,0.0,54.0,211
"bruno n""gotty",1,0.0,24.0,71
bruno soriano llido,2,0.0,203.0,698
bryan oviedo,1,0.0,92.0,312
busisiwe ndimeni,1,0.0,34.0,164
caitlin jade foord,4,1.0,51.0,272
callum davidson,1,0.0,27.0,120
callum mcmanaman,5,0.0,60.0,268
callum wilson,3,1.0,41.0,349
cameron brannagan,1,0.0,108.0,375
cameron jerome,11,1.0,121.0,693
carl cort,1,0.0,22.0,136
carl jenkinson,3,2.0,233.0,692
carl medjani,2,0.0,17.0,64
carla humphrey,33,0.0,734.0,3737
carles aleña castillo,12,2.0,628.0,2230
carles gil de pareja vicent,8,1.0,354.0,1428
carles planas antolínez,1,0.0,34.0,115
carles puyol i saforcada,3,1.0,324.0,988
carles pérez sayol,2,0.0,91.0,336
carli anne hollins,15,3.0,45.0,249
carlos alberto gomes de jesus,1,1.0,11.0,117
carlos alberto sánchez moreno,4,0.0,272.0,1044
carlos alberto tevez,4,0.0,41.0,193
carlos alberto vela garrido,10,0.0,194.0,1030
carlos arturo bacca ahumada,8,1.0,72.0,393
carlos castro garcía,2,2.0,28.0,194
carlos daniel tapia,1,0.0,3.0,14
carlos fernández luna,1,0.0,29.0,212
carlos henrique casimiro,13,2.0,417.0,1509
carlos joaquín correa,1,0.0,31.0,183
carlos manuel bocanegra,1,0.0,46.0,130
carlos martínez díez,1,0.0,122.0,390
carlos neva tey,1,0.0,26.0,73
carlos soler barragán,2,0.0,60.0,319
carolin simon,1,0.0,85.0,246
caroline graham hansen,3,1.0,86.0,427
caroline weir,72,8.0,2153.0,7528
cedric mabwati gerard,3,0.0,9.0,64
celso borges mora,4,0.0,136.0,516
chae-rim kang,3,0.0,46.0,298
chancel mbemba mangulu,4,0.0,370.0,1247
chantelle boye-hlorkah,39,3.0,507.0,2618
charles días barbosa de oliveira,18,0.0,104.0,603
charlie adam,14,1.0,199.0,718
charlie austin,3,0.0,25.0,170
charlie daniels,4,1.0,639.0,1937
charlie wellings,62,3.0,750.0,4017
charlotte bilbault,1,0.0,69.0,231
charlotte buxton,1,0.0,117.0,479
charlotte estcourt,3,0.0,129.0,540
cheikhou kouyaté,13,1.0,272.0,1071
cheyna matthews,1,0.0,12.0,78
chidinma nkeruka okeke,1,0.0,101.0,311
chinaza uchendu,2,0.0,50.0,202
chinyelu asher,1,0.0,27.0,161
chloe arthur,29,1.0,1228.0,4990
chloe kelly,71,10.0,602.0,3425
chloe logarzo,4,1.0,76.0,394
chloe peplow,15,0.0,878.0,3216
chris baird,1,0.0,43.0,150
chris brunt,3,0.0,182.0,509
chris smalling,6,0.0,484.0,1510
christen annemarie press,7,0.0,80.0,288
christian benteke liolo,17,4.0,199.0,1002
christian dannemann eriksen,39,5.0,762.0,2664
christian fuchs,10,0.0,551.0,1495
christian robert santos kwasniewski,2,0.0,31.0,136
christie murray,14,0.0,523.0,2164
christine manie,1,0.0,35.0,129
christine margaret sinclair,10,0.0,86.0,384
chung-yong lee,3,0.0,90.0,341
ciaran clark,3,1.0,88.0,316
ciro ferrara,1,0.0,34.0,147
claire emslie,24,5.0,347.0,1647
claire lauren rafferty,4,1.0,636.0,1710
clare elizabeth polkinghorne,1,0.0,59.0,186
clarence seedorf,2,0.0,81.0,339
claude makélélé,2,0.0,113.0,421
claudia walker,47,1.0,423.0,2557
claudine falonne meffometou tcheno,2,0.0,72.0,235
claudio ariel yacob,3,0.0,295.0,1073
claudio beauvue,3,0.0,15.0,87
claudio marchisio,3,0.0,54.0,179
claudio santos,1,0.0,27.0,98
claus jensen,3,1.0,116.0,379
clinton mua n''jie,2,0.0,25.0,125
clément lenglet,15,3.0,2832.0,8766
colin cameron,1,0.0,74.0,291
collins john,2,0.0,6.0,37
connie scofield,7,1.0,314.0,1446
connor wickham,18,2.0,177.0,1112
coral-jade haines,3,0.0,36.0,173
courtney sweetman-kirk,47,9.0,533.0,3010
craig bellamy,4,0.0,45.0,297
craig cathcart,1,0.0,316.0,917
craig dawson,9,0.0,459.0,1314
craig gardner,12,1.0,212.0,815
craig hignett,2,1.0,12.0,47
craig short,2,0.0,77.0,233
cristhian ricardo stuani curbelo,8,2.0,50.0,364
cristian gamboa luna,1,0.0,13.0,66
cristian portugués manzanera,3,0.0,59.0,396
cristian tello herrera,14,3.0,248.0,948
cristiana girelli,4,3.0,75.0,339
cristiane rozeira de souza silva,4,4.0,34.0,179
cristiano ronaldo dos santos aveiro,67,8.0,404.0,1904
crystal alyssia dunn soubrier,1,0.0,76.0,223
cédric bakambu,7,2.0,38.0,218
cédric ricardo alves soares,1,0.0,245.0,766
césar azpilicueta tanco,5,2.0,1028.0,2962
dado prso,1,0.0,29.0,133
daley blind,2,1.0,634.0,1845
dame n''doye,7,1.0,68.0,421
damien delaney,9,0.0,404.0,1294
dan gosling,14,2.0,286.0,1326
daniel alves da silva,57,0.0,5870.0,18825
daniel andre sturridge,22,2.0,188.0,965
daniel carvajal ramos,3,0.0,737.0,2343
daniel ceballos fernández,4,0.0,101.0,574
daniel filipe martins carriço,3,0.0,152.0,594
daniel garcía carrillo,1,0.0,255.0,934
daniel josé rodríguez vázquez,4,0.0,82.0,393
daniel munthe agger,2,0.0,22.0,78
daniel nii tackie mensah welbeck,7,1.0,39.0,314
daniel parejo muñoz,15,2.0,372.0,1598
daniel ruiz bazan justa,4,0.0,21.0,109
daniel van buyten,2,0.0,71.0,197
daniel wass,7,0.0,167.0,647
daniel william john ings,7,2.0,58.0,307
daniela sabatino,4,0.0,18.0,134
daniele verde,2,0.0,32.0,148
danielle buet,27,1.0,1025.0,3907
danielle carter,5,0.0,44.0,241
danielle turner,13,1.0,1315.0,3766
danielle van de donk,61,16.0,1586.0,6661
danilo barbosa da silva,3,0.0,20.0,123
danilo luiz da silva,2,0.0,90.0,277
danique kerkdijk,9,3.0,904.0,3049
danny drinkwater,10,0.0,608.0,2066
danny graham,2,0.0,63.0,299
danny higginbotham,2,0.0,94.0,256
danny rose,12,0.0,567.0,1730
danny simpson,2,0.0,352.0,1004
darko brašanac,1,0.0,19.0,79
darren ambrose,1,0.0,28.0,148
darren anderton,1,1.0,30.0,105
darren fletcher,4,0.0,513.0,1813
darwin daniel machís marcano,6,0.0,50.0,340
daryl janmaat,9,1.0,518.0,1570
dave gillett,2,0.0,21.0,94
david barral torres,6,0.0,55.0,267
david bentley,1,0.0,44.0,173
david dunn,2,0.0,100.0,414
david garcía santana,1,0.0,52.0,178
david joan butler,1,0.0,4.0,17
david josué jiménez silva,4,0.0,333.0,1202
david juncà reñé,1,0.0,134.0,397
david luiz moreira marinho,1,1.0,43.0,151
david lópez silva,3,2.0,167.0,608
david olatukunbo alaba,1,0.0,79.0,203
david prutton,1,0.0,39.0,167
david remeseiro salgueiro,3,0.0,62.0,293
david rodríguez lombán,3,0.0,136.0,435
david simón rodríguez santana,1,0.0,37.0,149
david villa sánchez,8,1.0,121.0,704
david zurutuza veillet,2,1.0,187.0,814
deanna cooper,1,0.0,177.0,532
dejan lovren,7,0.0,522.0,1583
dejan stefanovic,2,0.0,38.0,137
delphine cascarino,3,0.0,68.0,313
demarai gray,1,0.0,16.0,56
demi stokes,4,1.0,1378.0,4229
deneisha selena blackwood,2,0.0,75.0,280
denis cheryshev,8,1.0,131.0,633
denis irwin,3,0.0,134.0,358
denis suárez fernández,14,1.0,812.0,3105
dennis bergkamp,45,4.0,885.0,3687
desiree rose marie scott,1,0.0,117.0,365
desiree van lunteren,1,0.0,136.0,406
deyverson brum silva acosta,9,1.0,47.0,294
diafra sakho,11,2.0,97.0,731
didier yves drogba tébily,6,2.0,35.0,193
diego alberto milito,2,2.0,24.0,134
diego armando maradona,14,3.0,169.0,786
diego mario buonanotte rende,2,1.0,15.0,76
diego roberto godín leal,10,3.0,229.0,838
diego da silva costa,33,3.0,409.0,2280
dietmar hamann,2,1.0,75.0,285
dieumerci mbokani bezua,5,0.0,141.0,868
dimitar ivanov berbatov,2,0.0,12.0,38
dimitri foulquier,1,0.0,137.0,577
dimitri payet,21,3.0,468.0,1675
diogo ferreira salomão,1,1.0,27.0,113
diogo josé rosário gomes figueiras,1,0.0,76.0,279
dirk kuijt,2,1.0,26.0,152
divock okoth origi,10,3.0,85.0,580
djibril cissé,2,1.0,11.0,76
dmitriy alenichev,1,1.0,13.0,47
dominique bond-flasza,1,0.0,38.0,111
dominique bruinenberg,8,0.0,282.0,1126
dominique johanna anna petrone janssen,29,4.0,1190.0,3868
dorival guidoni júnior,3,0.0,89.0,332
drew spence,48,4.0,750.0,3012
duje čop,4,0.0,50.0,279
duncan watmore,10,1.0,98.0,755
dušan tadić,20,1.0,375.0,1558
dwight gayle,11,2.0,78.0,564
dwight yorke,2,0.0,71.0,350
débora cristiane de oliveira,6,0.0,56.0,313
dídac vilá rosselló,2,0.0,154.0,587
ebony salmon,24,5.0,121.0,972
eddy silvestre pascual i̇srafilov,1,0.0,19.0,73
eden hazard,21,2.0,801.0,3129
edgar antonio méndez ortega,4,0.0,104.0,565
edouard cissé,1,0.0,22.0,122
eduardo césar daude gaspar,25,2.0,967.0,3322
eduardo expósito jaén,1,0.0,51.0,224
eiður smári guðjohnsen,2,1.0,22.0,117
el-hadji baye oumar niasse,2,0.0,36.0,178
el-hadji ousseynou diouf,2,0.0,75.0,352
eliaquim mangala,5,1.0,248.0,832
elin ingrid johanna rubensson,5,1.0,103.0,375
elise bussaglia,3,0.0,107.0,338
elise hughes,8,0.0,159.0,1032
elise kellond-knight,2,0.0,90.0,275
elise thorsnes,1,0.0,14.0,63
eliseu pereira dos santos,1,0.0,20.0,105
elizabeth arnott,1,0.0,45.0,210
ella rutherford,27,2.0,369.0,2405
ella toone,18,1.0,192.0,885
ellen white,72,13.0,333.0,2377
ellie brazil,26,4.0,555.0,3095
ellie mason,20,3.0,386.0,1719
emi nakajima,4,0.0,84.0,311
emiliano adrián insúa zapata,2,0.0,82.0,251
emiliano buendía,1,0.0,73.0,356
emiliano daniel armenteros,1,0.0,20.0,91
emiliano daniel velázquez maldonado,2,0.0,66.0,268
emily donovan,6,1.0,180.0,1041
emily gielnik,1,0.0,26.0,122
emily louise van egmond,1,0.0,154.0,482
emily murphy,2,1.0,8.0,48
emily simpkins,8,0.0,233.0,998
emily syme,7,1.0,156.0,792
emma brownlie,2,0.0,174.0,550
emma follis,25,4.0,386.0,2037
emma mukandi,9,4.0,853.0,2465
emma rose kelly,2,0.0,40.0,210
emma stina blackstenius,3,0.0,17.0,99
emmanuel adebayor,6,1.0,130.0,602
emmanuel okyere boateng,2,0.0,8.0,56
emmanuel rivière,1,0.0,6.0,55
emre can,7,0.0,644.0,2260
emre çolak,3,0.0,31.0,148
endika guarrochenea arzubiaga,2,1.0,5.0,59
enes ünal,6,0.0,57.0,334
enis bardhi,6,0.0,107.0,426
enner remberto valencia lastra,8,2.0,81.0,582
enrique garcía martínez,4,0.0,39.0,265
enrique pérez muñoz,3,0.0,41.0,201
enzo nicolás pérez,1,0.0,130.0,533
enzo pablo roco roco,1,0.0,51.0,195
eric daniel djemba-djemba,1,0.0,19.0,103
eric dier,10,0.0,805.0,2513
erick cathriel cabaco almada,2,0.0,37.0,106
erik lamela,24,0.0,489.0,2051
erik pieters,5,0.0,636.0,1936
erin bloomfield,2,0.0,74.0,589
erin cuthbert,82,8.0,1206.0,5288
erin simon,1,0.0,796.0,2351
esme beth morgan,5,1.0,839.0,2321
esmee de graaf,3,1.0,280.0,966
esteban félix granero molina,4,0.0,228.0,906
esteban matías cambiasso delau,1,0.0,38.0,138
etienne capoue,7,0.0,414.0,1544
eugénie le sommer,10,2.0,94.0,409
eunan o''kane,2,0.0,136.0,476
eva sofia jakobsson,5,0.0,28.0,151
ezequiel marcelo garay,1,1.0,146.0,492
fabian delph,2,1.0,120.0,431
fabio borini,20,3.0,265.0,1314
