player_id,minutes_played_season,goals_total,assists_total,yellow_cards,red_cards,market_value_eur,player_name,date_of_birth,position,sub_position,age,transfer_fee_eur,season_year,competition_and_season,sb_matches_played,sb_goals,sb_assists,sb_shots,sb_xg,sb_passes,sb_pass_completed,sb_tackles,sb_interceptions,sb_dribbles_completed,sb_minutes_played,sb_pass_accuracy,bmi,season_days_injured,days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_injury_this_season,injury_risk_score,fan_sentiment,media_sentiment
2865,3986,3,7,13,0,13000000,Stephan Lichtsteiner,16-01-1984,Defender,Right-Back,30,0,2014,Champions League_2014/2015,1,0,0,0,0,28,26,3,0,0,95,0.928571429,22.99478633,0,0,0,0,0,0,0,-0.169554396,0.029320031
2865,2782,2,2,6,0,6000000,Stephan Lichtsteiner,16-01-1984,Defender,Right-Back,31,0,2015,Serie A_2015/2016,26,0,1,16,1.224545708,1067,806,25,9,9,95,0.755388941,22.99478633,0,0,0,0,0,0,0,0.08604843,0.151470538
2865,1553,0,1,4,0,1500000,Stephan Lichtsteiner,16-01-1984,Defender,Right-Back,34,0,2018,FIFA World Cup_2018,3,0,0,3,0.052927057,152,117,3,3,1,94,0.769736842,22.99478633,31,0,0,2.066666667,31,0,0.278365614,0.461064314,0.042091708
2923,1887,4,7,7,0,3000000,Andreas Ivanschitz,15-10-1983,Midfield,Attacking Midfield,30,0,2013,La Liga_2013/2014,2,0,1,3,0.187591251,30,16,4,3,1,91,0.533333333,25.73708141,0,0,0,0,0,0,0,-0.135765847,0.119853589
2923,1333,1,3,3,0,3000000,Andreas Ivanschitz,15-10-1983,Midfield,Attacking Midfield,31,0,2014,La Liga_2014/2015,1,0,0,0,0,9,6,1,0,0,85,0.666666667,25.73708141,0,0,0,0,0,0,0,0.067245031,-0.050743075
2926,1885,0,0,8,0,750000,György Garics,08-03-1984,Defender,Right-Back,31,0,2015,1. Bundesliga_2015/2016,21,0,0,3,0.074839823,627,392,30,22,5,95,0.625199362,25.73708141,0,0,0,0,0,0,0,0.470243676,-0.245379383
2998,3150,3,0,8,0,6000000,Robert Huth,18-08-1984,Defender,Centre-Back,31,0,2015,Premier League_2015/2016,35,3,0,30,2.599811442,794,612,37,46,4,98,0.770780856,25.73708141,0,0,0,0,0,0,0,-0.145751854,0.311329519
3146,225,0,0,1,0,500000,Shay Given,20-04-1976,Goalkeeper,Goalkeeper,39,0,2015,Premier League_2015/2016,3,0,0,0,0,67,44,0,0,0,97,0.656716418,25.73708141,0,0,0,0,0,0,0,0.739263567,0.108772312
3160,2509,1,1,5,1,3000000,John Terry,07-12-1980,Defender,Centre-Back,35,0,2015,Premier League_2015/2016,24,1,0,10,1.154272665,933,853,28,27,1,99,0.914255091,25.73708141,45,0,0,4.5,45,0,0.293422069,-0.13942339,0.094420704
3256,1280,0,1,3,0,2000000,Roberto Hilbert,16-10-1984,Defender,Right-Back,31,0,2015,1. Bundesliga_2015/2016,12,0,1,4,0.148391389,467,299,23,15,16,102,0.640256959,23.44053271,0,0,0,0,0,0,0,-0.031220261,-0.010536623
3291,3013,0,3,9,0,2500000,Gareth Barry,23-02-1981,Midfield,Defensive Midfield,34,0,2015,Premier League_2015/2016,33,0,0,17,1.075521215,2098,1710,103,39,19,97,0.815061964,23.44053271,0,0,0,0,0,0,0,-0.050492541,-0.150520942
3306,1815,6,3,2,0,3500000,Jonathan Walters,20-09-1983,Attack,Right Winger,32,0,2015,Premier League_2015/2016,27,5,2,33,5.530523288,537,343,9,10,16,96,0.638733706,23.58983547,59,0,0,2.458333333,59,0,0.308478525,-0.152743113,0.036038069
3356,1112,0,0,0,0,750000,Sylvain Distin,16-12-1977,Defender,Centre-Back,38,0,2015,Premier League_2015/2016,11,0,0,2,0.16814246,479,394,17,4,3,94,0.822546973,24.98356345,0,0,0,0,0,0,0,0.209245551,0.119308222
3405,540,0,0,1,0,500000,Wes Brown,13-10-1979,Defender,Centre-Back,36,0,2015,Premier League_2015/2016,6,0,0,0,0,198,153,8,8,1,94,0.772727273,24.98356345,0,0,0,0,0,0,0,-0.663630537,0.131478678
3455,3523,43,18,3,0,15000000,Zlatan Ibrahimović,03-10-1981,Attack,Centre-Forward,34,0,2015,Ligue 1_2015/2016,30,36,13,148,22.6984884,1360,1057,17,7,20,94,0.777205882,24.98356345,210,0,0,7.24137931,210,1,0.470873148,0.442113913,0.572392316
