player_name,season,matches_played,goals,assists,shots,xg,passes,pass_completed,tackles,interceptions,dribbles_completed,minutes_played,pass_accuracy
Adrien Hunou,Ligue 1_2022/2023,2,0,0,2,0.153664283,72,61,0,1,1,88,0.8472222222222222
Adrien Rabiot,FIFA World Cup_2022,6,1,1,9,0.728120058,285,246,11,10,1,98,0.8631578947368421
Adrien Rabiot,Ligue 1_2015/2016,24,1,1,14,0.7332403765,1481,1337,63,26,24,94,0.9027683997299122
Adrien Rabiot,UEFA Euro_2020,4,0,0,3,0.198580169,202,176,8,8,2,119,0.8712871287128713
Adrien Rabiot,UEFA Euro_2024,5,0,0,3,0.26204044,235,214,6,1,4,94,0.9106382978723404
Adrien Regattin,Ligue 1_2015/2016,34,1,3,33,0.9897005804,949,638,30,19,22,94,0.672286617492097
Adrien Sebastian Perruchet Silva,FIFA World Cup_2018,3,0,1,2,0.089804362,160,145,4,1,0,95,0.90625
Adrien Thomasson,Ligue 1_2015/2016,34,2,5,39,2.4568809076000004,1522,1121,72,23,34,95,0.7365308804204993
Adrien Thomasson,Ligue 1_2021/2022,1,0,0,0,0.0,50,41,3,2,0,68,0.82
Adrien Thomasson,Ligue 1_2022/2023,1,0,0,0,0.0,22,19,1,0,0,45,0.8636363636363636
Adrien Truffert,Ligue 1_2021/2022,1,0,0,0,0.0,4,3,0,0,0,92,0.75
Adrien Truffert,Ligue 1_2022/2023,2,0,1,0,0.0,50,44,1,0,2,75,0.88
Adrienne Jordan,FA Women's Super League_2019/2020,13,0,0,2,0.256418649,629,476,47,15,19,97,0.7567567567567568
Adrià Giner Pedrosa,La Liga_2018/2019,1,0,0,0,0.0,23,20,0,1,0,89,0.8695652173913043
Adrián Andrés Cubas,Copa America_2024,2,0,0,0,0.0,92,82,8,2,0,94,0.8913043478260869
Adrián Colunga Pérez,La Liga_2008/2009,1,0,0,1,0.022410471,20,12,2,1,1,90,0.6
Adrián Colunga Pérez,La Liga_2009/2010,1,2,0,3,0.52132667,5,4,0,0,0,88,0.8
Adrián Colunga Pérez,La Liga_2012/2013,2,0,0,1,0.022727033,38,22,2,0,0,72,0.5789473684210527
Adrián Colunga Pérez,La Liga_2013/2014,1,0,0,0,0.0,11,8,0,0,0,46,0.7272727272727273
Adrián Embarba Blázquez,La Liga_2013/2014,1,0,0,1,0.010084378,8,6,0,0,0,89,0.75
Adrián Embarba Blázquez,La Liga_2015/2016,28,2,4,40,3.4780389765999993,761,480,45,27,30,94,0.6307490144546649
Adrián Embarba Blázquez,La Liga_2018/2019,1,0,0,0,0.0,2,1,2,0,1,91,0.5
Adrián Embarba Blázquez,La Liga_2019/2020,1,0,0,2,0.249327076,21,10,1,2,1,73,0.47619047619047616
Adrián González Morales,La Liga_2009/2010,1,0,0,2,0.072097014,44,33,1,1,0,81,0.75
Adrián González Morales,La Liga_2010/2011,2,0,0,5,0.27898593400000005,50,34,2,1,3,91,0.68
Adrián González Morales,La Liga_2011/2012,2,0,0,0,0.0,39,29,2,0,1,91,0.7435897435897436
Adrián González Morales,La Liga_2012/2013,1,0,0,1,0.034979463,50,40,4,2,0,61,0.8
Adrián González Morales,La Liga_2014/2015,2,0,0,1,0.017993527,30,24,2,1,0,92,0.8
Adrián González Morales,La Liga_2015/2016,32,5,0,47,4.825485529999999,1030,732,34,27,12,94,0.7106796116504854
Adrián González Morales,La Liga_2016/2017,1,0,0,2,0.09027145,20,15,0,1,0,73,0.75
Adrián González Morales,La Liga_2017/2018,1,0,0,0,0.0,52,44,3,0,0,92,0.8461538461538461
Adrián Javier Gunino Duque,La Liga_2014/2015,1,0,0,0,0.0,17,13,2,3,0,91,0.7647058823529411
Adrián López Rodríguez,La Liga_2007/2008,1,0,0,0,0.0,16,9,2,2,0,85,0.5625
Adrián López Rodríguez,La Liga_2009/2010,1,0,0,0,0.0,16,11,5,1,0,90,0.6875
Adrián López Álvarez,Champions League_2013/2014,1,0,0,3,0.239486825,43,31,1,0,2,123,0.7209302325581395
Adrián López Álvarez,La Liga_2006/2007,2,1,0,3,0.428262527,15,10,0,0,1,90,0.6666666666666666
Adrián López Álvarez,La Liga_2008/2009,1,0,0,1,0.40625578,8,6,1,0,0,60,0.75
Adrián López Álvarez,La Liga_2009/2010,1,1,0,1,0.18385239,13,7,2,0,2,62,0.5384615384615384
Adrián López Álvarez,La Liga_2010/2011,1,0,0,2,0.64901802,25,19,0,0,1,91,0.76
Adrián López Álvarez,La Liga_2011/2012,2,0,0,1,0.26679102,32,25,0,2,2,93,0.78125
Adrián López Álvarez,La Liga_2012/2013,2,0,0,1,0.014332294,59,43,1,0,5,90,0.7288135593220338
Adrián López Álvarez,La Liga_2013/2014,1,0,0,0,0.0,25,16,0,0,0,71,0.64
Adrián López Álvarez,La Liga_2015/2016,16,4,4,8,2.6336273300000004,345,229,5,2,9,93,0.663768115942029
Adrián López Álvarez,La Liga_2016/2017,1,0,0,0,0.0,6,6,0,0,0,92,1.0
Adrián López Álvarez,La Liga_2017/2018,1,0,0,0,0.0,43,32,1,0,3,87,0.7441860465116279
Adrián López Álvarez,La Liga_2019/2020,1,0,0,0,0.0,20,12,0,2,0,69,0.6
Adrián López Álvarez,La Liga_2020/2021,1,0,0,1,0.06182509,14,11,1,0,0,92,0.7857142857142857
Adrián Marín Gómez,La Liga_2015/2016,11,0,0,1,0.016992906,545,412,38,24,8,94,0.7559633027522936
Adrián Marín Gómez,La Liga_2018/2019,1,0,0,1,0.14080831,7,5,0,0,0,90,0.7142857142857143
Adrián Marín Gómez,La Liga_2019/2020,1,0,0,0,0.0,29,27,2,2,1,91,0.9310344827586207
Adrián Marín Gómez,La Liga_2020/2021,2,0,1,0,0.0,3,2,0,1,0,93,0.6666666666666666
Adrián Nicolás Luna Retamar,Indian Super league_2021/2022,23,6,7,30,1.001449978,1064,745,54,41,17,120,0.700187969924812
Adrián Rus,UEFA Euro_2024,2,0,0,0,0.0,5,1,0,0,0,92,0.2
Adrián San Miguel del Castillo,La Liga_2012/2013,2,0,0,0,0.0,56,29,0,0,0,92,0.5178571428571429
Adrián San Miguel del Castillo,Premier League_2015/2016,32,0,0,0,0.0,998,556,0,0,1,96,0.5571142284569138
Adrián Sardinero Corpa,La Liga_2010/2011,1,0,0,0,0.0,5,3,0,0,0,92,0.6
Adryan Oliveira Tavares,Ligue 1_2015/2016,26,3,2,31,2.5578409300000002,626,426,42,6,38,93,0.6805111821086262
Afriyie Acquah,Serie A_2015/2016,29,2,3,24,0.9222500709000001,702,503,29,16,28,95,0.7165242165242165
Ager Aketxe Barrutia,La Liga_2015/2016,3,0,0,4,0.169452501,95,70,6,1,1,92,0.7368421052631579
Agla María Albertsdóttir,UEFA Women's Euro_2022,3,0,0,1,0.020319303,25,14,2,4,0,93,0.56
Agla María Albertsdóttir,UEFA Women's Euro_2025,3,0,0,2,0.09443810899999999,29,12,3,0,0,96,0.41379310344827586
Agne Simonsson,FIFA World Cup_1958,1,1,1,3,0.519549888,31,19,0,0,1,90,0.6129032258064516
Agnes Beever-Jones,FA Women's Super League_2020/2021,2,0,0,0,0.0,9,8,1,0,0,92,0.8888888888888888
Agnes Beever-Jones,UEFA Women's Euro_2025,3,1,1,2,0.49635311,25,17,2,0,0,122,0.68
Agnese Bonfantini,UEFA Women's Euro_2022,1,0,0,3,0.146494801,20,11,1,0,2,97,0.55
Agness Musase,Women's World Cup_2023,3,0,0,0,0.0,65,44,2,4,0,98,0.676923076923077
Aguibou Camara,African Cup of Nations_2023,5,1,0,5,0.49312263450000005,175,136,10,5,4,97,0.7771428571428571
Agustina Barroso Basualdo,Women's World Cup_2019,3,0,0,0,0.0,53,32,6,5,0,93,0.6037735849056604
Agustín Aranzábal Alkorta,La Liga_2005/2006,1,0,0,0,0.0,3,1,1,0,0,91,0.3333333333333333
Agustín Canobbio Graviz,Copa America_2024,1,0,0,0,0.0,4,3,1,0,0,96,0.75
Agustín Canobbio Graviz,FIFA World Cup_2022,1,0,0,0,0.0,7,5,2,0,0,97,0.7142857142857143
Agustín García Iñiguez,La Liga_2004/2005,1,0,0,0,0.0,8,5,3,2,0,89,0.625
Ahmad Nourollahi,FIFA World Cup_2022,3,0,0,5,0.0804267816,55,39,4,4,2,77,0.7090909090909091
Ahmed Alaa Eldin Abdelmotaal,FIFA World Cup_2022,1,0,0,0,0.0,2,0,0,0,0,95,0.0
Ahmed Elsayed Ali Elsayed Hegazy,African Cup of Nations_2023,4,1,1,3,1.14095054,226,198,5,5,1,128,0.8761061946902655
Ahmed Elsayed Ali Elsayed Hegazy,FIFA World Cup_2018,3,0,0,0,0.0,125,93,3,6,0,94,0.744
Ahmed Fathy Abdel Meneim Ibrahim,FIFA World Cup_2018,3,0,0,1,0.008270875,168,127,15,5,0,94,0.7559523809523809
Ahmed Hassan Mahgoub,African Cup of Nations_2023,1,0,0,0,0.0,1,1,0,0,0,100,1.0
Ahmed Jahouh,Indian Super league_2021/2022,15,3,7,23,1.6452409085,1121,819,62,37,16,96,0.7305976806422837
